Year,Transport Type,Emissions (MtCO2e)
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
Transport type and mode,"Domestic road transport, Cars and taxis","Domestic road transport, Cars and taxis"
1990,"Domestic road transport, Cars and taxis",72.0
1991,"Domestic road transport, Cars and taxis",71.8
1992,"Domestic road transport, Cars and taxis",73.4
1993,"Domestic road transport, Cars and taxis",74.3
1994,"Domestic road transport, Cars and taxis",73.7
1995,"Domestic road transport, Cars and taxis",72.9
1996,"Domestic road transport, Cars and taxis",75.7
1997,"Domestic road transport, Cars and taxis",76.0
1998,"Domestic road transport, Cars and taxis",75.6
1999,"Domestic road transport, Cars and taxis",77.0
2000,"Domestic road transport, Cars and taxis",76.6
2001,"Domestic road transport, Cars and taxis",76.6
2002,"Domestic road transport, Cars and taxis",78.4
2003,"Domestic road transport, Cars and taxis",77.2
2004,"Domestic road transport, Cars and taxis",77.7
2005,"Domestic road transport, Cars and taxis",77.6
2006,"Domestic road transport, Cars and taxis",77.2
2007,"Domestic road transport, Cars and taxis",77.2
2008,"Domestic road transport, Cars and taxis",75.9
2009,"Domestic road transport, Cars and taxis",73.6
2010,"Domestic road transport, Cars and taxis",71.5
2011,"Domestic road transport, Cars and taxis",70.8
2012,"Domestic road transport, Cars and taxis",70.3
2013,"Domestic road transport, Cars and taxis",69.6
2014,"Domestic road transport, Cars and taxis",70.0
2015,"Domestic road transport, Cars and taxis",70.9
2016,"Domestic road transport, Cars and taxis",72.1
2017,"Domestic road transport, Cars and taxis",72.1
2018,"Domestic road transport, Cars and taxis",70.7
2019,"Domestic road transport, Cars and taxis",69.9
2020,"Domestic road transport, Cars and taxis",52.0
2021,"Domestic road transport, Cars and taxis",57.4
2022,"Domestic road transport, Cars and taxis",59.6
